text,year
"The move startled officials at the White House and at the Department of Homeland Security, where one West Wing official said Mr. Cuccinelli would work.",2019
"The decision to add the new warning labels was approved by Jack Dorsey, Twitter's chief executive, after a late-night debate among company officials, said a person with knowledge of the deliberations.",2020
"But some analysts question whether a new tone, however welcome, and the adoption of a few policies that are more in line with the rest of the world would be enough by themselves to improve America's image, given the searing unpopularity of the Iraq war -- which Mr. McCain strongly supports -- in much of the world.",2008
That gave repeal advocates an edge in lobbying lawmakers -- they were able to persuade even some legislators who favored parental notification that it would be better to remove the matter from the courts.,2007
Environmentalists hailed the announcement as historic and said that China's move should effectively end Republicans' main objection to enacting a domestic climate change policy.,2015
-- A fat sheaf of F.B.I. reports meticulously details the surveillance that counterterrorism agents directed at the one-story house in East Austin.,2011
"Officials of the Civilian Complaint Review Board defended the agency yesterday against allegations by a former employee who told a legislative hearing that the panel is ineffective, tolerates racial discrimination and is biased toward the police.",2002
"Speaking on the condition of anonymity, an Israeli official acknowledged concerns: ""Obviously, it is hard to see in this result good news for Israel.",2011
"The most likely argument for federal review, election scholars said, is that the court order violated the federal Constitution's elections clause, which delegates authority over elections to state legislatures.",2018
"Instead of lasting a decade like well-made LEDs, the low-priced LEDs occasionally burn out after less than a year, large buyers warn.",2014
But he noted that it was too soon to say whether the changes in the numbers were indicative of a trend.,2020
American military officers have pressed for such a formal agreement with Iraq because it would spell out specific legal responsibilities and protections for American troops in Iraq.,2007
"Among other efforts, they said, he helped to shape an August 2002 opinion from the Justice Department's Office of Legal Counsel that said torture might be justified in some cases.",2005
"WHEN Gov. George E. Pataki announced late last month that he would not seek a fourth term, the Republican rumor mill wasted no time churning out names of potential gubernatorial candidates.",2005
"For some Democrats, the strategy is two-pronged -- to continue talking about their plans to fix and improve the law, and to highlight the negative consequences for Americans if it is repealed outright.",2014
"Cutting carbon emissions grows harder after doing the obvious things, like buying more clean power and upgrading energy efficiency in buildings.",2015
"But the senator stated at the time that no charges had been filed, and the United States attorney's office did not comment officially on the existence of an investigation.",2006
"Professional sports teams have ""saved literally millions of dollars"" because of the new language of the rules, he said.",2002
"According to a 2006 article in Newsday, Mr. Swarzman became friends with AbTech's founder in Arizona, and was impressed by the company's primary product, a spongelike water filter that the company says can be used to treat storm water runoff and water contaminated by hydrofracking.",2015
"As a performer, Ms. Taylor also emerges from this two-hour pep rally smelling like a rose (a yellow one, let us say).",2013
"Aides to Mr. Kerry said that his own campaign would begin to advertise in Ohio, Georgia and upstate New York today and could spend as much as $1.5 million before next Tuesday.",2004
"With voters under 45, Mr. Biden is polling several points behind Mr. Yang, a former tech executive who has never run for office before.",2019
The turnaround made possible by Mr. Abbas's ascendance ushers in what some administration officials say is a delicate new phase in which Israel and the United States will try to orchestrate a series of concessions to the Palestinians to bolster Mr. Abbas's standing.,2003
"Many coaches believe in restricting the flow of medical information, and some players do not like others to know about their physical status because it may affect their leverage in contract talks.",2002
"In a statement released after the meeting, the White House stressed the areas of agreement between Mr. Obama and the king, saying that they ""reaffirmed the historic friendship and deep strategic partnership"" between their two nations.",2016
Slovenia was told that taking a prisoner was the price for a meeting with President Obama.,2010
"He has cast a particularly long shadow at the Pentagon, where many senior military lawyers remain suspicious of him more than a decade after they first clashed over his role, as an aide to Defense Secretary Cheney, in efforts to scale back the authority of lawyers in the uniformed services.",2005
"She also asserts that after she spoke last month with The New Yorker, which obtained notes she kept on Mr. Trump, A.M.I. warned that ""any further disclosures would breach Karen's contract"" and ""cause considerable monetary damages.",2018
"But Abu Nidal does not appear to have engaged in any anti-American operations since his arrival in Iraq, and he may have ended his terrorism activities, officials said.",2002
"""We charge based on what we know at that time,"" Mr. Dunnings said, ""but hopefully we're open to further evidence and information that comes along, and as we become aware of things, we adjust our positions accordingly.",2011
"Business ­strategy, technology and marketing consultants have all referred to ""bright, shiny objects"" (or ""B.S.O.s"") to describe the fickle tastes of modern life.",2015
"Developing nations were hit by a series of financial crises during Mr. Fischer's time at the fund, and the changes in economic policy that the I.M.F. required from countries seeking its help remain controversial.",2014
"That, the officials said, would be definitive.",2000
"An hour later, Bloomberg officials called to advise him of the mayor's revised plans.",2002
There was some speculation that the three were trying to defect.,2014
"M.P.R.I.'s contract is worth $250 million, according to a press release.",2011
"No one knew or heard of anyone like that, much less hearing from the mayor,"" Mr. Rangel said.",2015
"But Democratic officials said they could not conclude that Mr. Bush's Democratic challenger, Senator John Kerry of Massachusetts, would have won in Ohio even if voting had gone smoothly.",2005
"""In political, TV is still king,"" said Kip Cassino, executive vice president for research at Borrell Associates.",2015
"Wall Street analysts said any tax implications of the move are unclear, especially since Halliburton will continue to have a large corporate office in Houston and will remain one of the leading oil services companies in North America.",2007
Critics of the procedure described it in terms so gruesome and detailed that many lawmakers who otherwise support abortion rights already felt compelled to vote against it when the issue repeatedly came before Congress during the Clinton administration.,2003
"In the high-tempo political arena of New York City, he is instead viewed as a nice, helpful, party guy, political strategists said.",2004
Some public health experts say they are concerned that obesity campaigns have attracted more money and attention recently than programs against tobacco.,2010
Experts in international law said they could not think of an example of a major United Nations agreement entering into legal force less than a year after it was finalized.,2016
"The Kurdish leaders in Erbil have not articulated in detail what a confederal system would look like, but outside analysts and experts have put forward useful proposals.",2017
"Of the roughly 3,500 total American and NATO deaths in this war, American officials say, more than 150 have been killed in such ""green-on-blue"" attacks -- assaults so destructive to the American mission that they have their own terminology to describe them.",2020
It's too close to call.,2000
"But the pitch by the security officials to persuade lawmakers to extend the law or make it permanent ran into political turbulence, including continuing anger by Republicans over the leaking of the contents of calls in December between Michael T. Flynn, President Trump's former national security adviser, and the Russian ambassador.",2017
"The number of New Yorkers over 50 who had received colonoscopies during the previous 10 years rose to 62 percent in 2007 from 42 percent in 2003, and there were 319 fewer children identified with lead poisoning in 2006 than in 2002.",2009
"He said he was among a network of wealthy N.R.A. donors who would cumulatively withhold more than $134 million in pledges, much of it earmarked years in advance through estate planning, and would soon give the gun group's board a list of demands for reform.",2019
But Pentagon officials said there was little appetite in the Defense Department for a full-fledged American military mission in Syria that would include thousands of additional combat troops.,2017
"Soon, her Facebook account began promoting content to her on a range of other conspiratorial ideas, ranging from people who claim the earth is flat to those who believe that ""chem trails,"" or trails left in the sky by planes, were spraying chemical agents on an unsuspecting public. """,2017
"The investigation found that the Police Department, with 17,000 officers, was ""broken,"" lacking basic systems of accountability at every level.",2011
"Administration officials were providing them with the same information about the Bin Laden raid that they have given to all the news media, he said.",2011
"WASHINGTON -- The economic upheaval is threatening to topple Republican Congressional candidates, putting more Senate and House seats within Democratic reach less than a month before the elections, lawmakers and campaign strategists say.",2008
"Nonetheless, when people try to tell me that the McCain on the campaign trail is the real McCain and the one who came before was fake, I just say, baloney.",2008
"The Department of Justice should postpone coming elections in New Orleans until displaced voters have been located, N.A.A.C.P. officials said Saturday.",2006
"But midodrine's maker got the drug approved in 1996 under a process known as accelerated approval, in which drugs for severe or life-threatening conditions are approved even though the evidence for their effectiveness is scant.",2010
"It names names and, when necessary to its ends, is happy to defy the Republican leadership.",2017
"Mr. Short, a long-serving aide to Vice President Mike Pence when he was a congressman, joined Mr. Trump's staff when he took office.",2018
"The elements of continuity suggest that as the war on terrorism drifts toward its 17th year, political, legal, diplomatic and practical hurdles constrain the Trump administration from making more radical policy shifts.",2017
"Still, many economists warn that rushing back toward normal life too quickly, without the safeguards needed to prevent a second wave of the outbreak, could simply worsen the economic damage that Mr. Trump is trying to fix.",2020
Federal officials said that in most of the 21 states the targeting was preparatory activity such as scanning computer systems.,2017
"DETROIT -- The federal government has granted General Motors permission to use $2.8 billion in borrowed money to help its former parts division, the Delphi Corporation, G.M. said in a regulatory filing on Monday.",2009
"The drones have flown over Latakia, western Idlib, and western Hama, according to a senior United States official who spoke on the condition of anonymity to discuss confidential intelligence assessments.",2015
"Mr. Gianforte had raised $3.3 million between January and early May, according to federal filings.",2017
"Last Sunday, on the CBS program ""60 Minutes,"" Mr. Bush insisted that he has the authority as commander-in-chief to execute his strategy, no matter what kind of objections Congress raises.",2007
"Later on Monday, Speaker Nancy Pelosi told House Democrats during a conference call that she was hopeful a deal could be reached by the end of the night, according to two people familiar with the private conversation, who spoke about it on condition of anonymity.",2020
"That message has populist appeal, according to Bernard Whitman, a pollster who has worked for Bill Clinton and Michael R. Bloomberg.",2015
"The population of 20- to 34-year-olds upstate decreased by 22 percent in the 1990s, according to state figures.",2007
"Further, Indian country had 3,462 full-time police personnel in 2000, a number that now stands at about 3,000, according to Justice Department statistics.",2012
"An analysis by the Department of Investigation led to the payment, the city's news release said.",2011
"According to one theory, possible choices include Lt.",2007
"""I expect that he'll be a force for trying to move this process along so the party can consolidate and unify.""",2016
"In the press briefing, the staff of the commission said that Mr. Lynch's proposals would require legislative approval, a long and uncertain process.",2003
"The investigation by The Times found that the military did not follow its own health care guidelines in the initial care of many patients, and did not establish a means for following their health over time, as the guidelines also required.",2014
"Democratic leaders in the Senate were quick to criticize the decision and indicated that they would move to address voting rights, though it was not clear what options were immediately available.",2013
"Justice White, who had the opinion assignment, and Justice O'Connor, who objected to aspects of his draft, were at an impasse.",2004
"But Mr. Sessions, a former senator and prosecutor who was an important campaign adviser to Mr. Trump, told reporters he was worried that the increase in violence in some major cities, like Chicago and Baltimore, was ""not a blip"" and could signal ""a longer-term trend.""",2017
"But San Francisco is the sole major jurisdiction to incorporate what advocates of instant-runoff voting consider three essential components for its success, ranked-choice ballots, a single election and the requirement that each winner receive a majority of the votes cast.",2004
"Outside analysts say that the sharp disputes and deepening divisions between Senator Barack Obama and Mrs. Clinton could, if not resolved, leave some voters disenchanted if their candidate did not prevail.",2008
Several conservative activists attending the conference here said they were keeping close watch on party leaders and were intent on confronting them if they did not deliver on promises that were made during last year's midterm election campaign.,2011
"Britain and Nazi Germany, for example, tried to influence the 1940 presidential election, financing bogus polls and efforts to sway the nominating conventions.",2017
"In Long Island, a similar committee helped limit the height of a new hotel as part of a development near the Belmont racetrack.",2018
The F.D.A. delayed its decision on Effient several times during an 18-month review as agency officials weighed the drug's benefits and risks.,2009
But White House officials said that Mr. Obama and his aides made the calculation that focusing on finding a nominee with impeccable legal credentials would expose the Republican opposition as based solely on politics.,2016
"ONE defense-oriented Fourth Amendment expert, Professor Tracey Maclin of Boston University Law School, said the seat belt case was a serious loss that outweighed the victories for defendants in the other cases because once the police make an arrest, they can conduct extensive searches.",2001
"Analysts debated the effect on his regular-guy image, though the consensus seemed to be that viewing the game from the owner's box was hardly an appeal to the lunch pail vote.",2015
"Several others have indicated that they are considering a bid, including Bradley Byrne, a former Republican candidate for governor.",2013
"Campaign officials said Friday that Mr. Thompson had bought a 30-second spot that would be televised nationally on the Fox News Channel, the network carrying the debate, just as viewers are tuning in at the onset.",2007
"But based on who voted for him four years ago, his analysis looks shaky.",2004
"Mr. Obama, administration officials say, chose to move forward with the Arctic drilling only after pairing the approval with tough new safety regulations.",2015
"""It's like they're saying, 'Some people see it this way, some see it that way, so just teach it all and let the kids figure it out.' It seems like a nice compromise, but it infuriates both the creationists and the scientists,"" said Mr. Green, who is also a professor at the University of Akron in Ohio.",2005
Politicians are paying attention to them perhaps because they've demonstrated a willingness to switch parties.,2016
"Africa remains one corner of the world where, despite the war in Iraq, the United States is viewed relatively favorably.",2008
"Mr. Bloomberg, who generally hews to tough language when discussing the city's budget problems, sounded a sympathetic note yesterday for the city's residents, who have to bear the burden of his economic policies by paying the increased property tax.",2003
But the vast majority of findings point to the same conclusion: Bullying bosses tend to undermine their own teams.,2019
"In this race, where turnout is expected to be light, party endorsements are likely to play a heavy role.",2000
"WASHINGTON, Sept. 12 -- The Bush administration imposed penalties today on three Russian military contractors that sold weapons to countries that the State Department says support terrorism.",2002
"But Mr. Rumsfeld, backed by his senior military advisers, decided that bombing an Arab nation from a vector over the Jewish state was politically tone deaf, and risked further alienating large segments of the Islamic world.",2003
"With her speaking slots and officiating duties all but scrapped during the convention -- it was announced later that she would not ""gavel in"" Monday's opening -- it was to be one of the embattled Florida congresswoman's few public appearances.",2016
"""There are some advisers that don't want to talk about politics because they want to be middle of the road, and then what happens is, in some instances, they're alienating some of their clients who feel it's really important to talk about,"" said David Frisch, president of Frisch Financial Group in Melville.",2020
But the broad contours of the agreement are likely to satisfy Communist Party hard-liners who insist that Beijing make no compromises that would limit industrial policies aimed at turning China into a high-tech competitor with the United States.,2019
His well-documented penchant for revenge created the culture that allowed the crude behavior of his closest aides.,2014
"At the same time, however, Mrs. Clinton's aides said she fully supported yesterday's move to stepped-up sanctions.",2007
"According to government documents since made public, he was made aware in February 2004 of the death of a C.I.A. detainee in Iraq that had been ruled a homicide and whose case was referred to the Justice Department.",2017
"""The problem is that our policy has been all carrots and no sticks,"" the adviser told a gathering of academics and outside strategists, according to members of the audience. """,2006
"Two leading advocates of Republican reform, Michael Gerson, chief speechwriter for George W. Bush and a Washington Post columnist, and Peter Wehner, a senior fellow at the Ethics and Public Policy Center who served in the last three Republican administrations, wrote in the Winter 2014 edition of National Affairs that ""many conservatives fail to see the extent to which equal opportunity, a central principle of our national self-understanding, is becoming harder to achieve.",2014
"By 2026, the final year of the analysis, they would combine to save that group a little more than $20 billion a year.",2017
"Aides also point out that while Mr. Obama has opened some new federal waters to drilling, including off the southeastern Atlantic coast, his hand was in part forced on Arctic drilling by his predecessor.",2015
"Other advocates for Irish immigrants noted that while Mr. Trump's travel ban did not affect Ireland, it could eventually be expanded to target different groups.",2017
"Federal authorities have filed civil and criminal charges against a group of Wall Street banks and individuals that they say tried to manipulate markets in gold, silver and certain financial products, including by showing potential customers fake prices.",2018
"""The demographics have flipped,"" said Peter Ragone, a former top aide to Mayor Bill de Blasio and a regular adviser to Democratic politicians.",2020
"But on Friday, Justice Department lawyers told automakers that they had concluded that they had not broken any rules or laws in their dealings with California, according to the people familiar with the matter.",2020
"Alice Gabriner, the international photo editor of Time Magazine, worked with Mr. Souza at the White House during the early years of Mr. Obama's first term.",2017
"In a cursory filing with the state courts, the attorney general's office suggested that his grand jury presentment was deeply flawed.",2014
"However, some Democrats said that the party had always fought against the scaling back of big bank regulation and that the recent fight was more indicative of the current governing climate than any new progressive wave.",2014
"He employs no publicist, dedicates no aide to media relations.",2011
Mr. Rubio also told the gathered crowd of several dozen a tough truth: He doesn't love New England sports teams.,2015
And most Democrats said they would favor a nominee willing to work with Republicans.,2019
"Since January, when I began covering the pandemic, I have been a consistently gloomy Cassandra, reporting on the catastrophe that experts saw coming: that the virus would go pandemic, that Americans were likely to die in large numbers, the national lockdown would last well beyond Easter and even past summer.",2020
"A8   NATIONAL A16-21   G.O.P. Split on Issues As Elections Approach Some Republicans say that voters are concerned about the economy, health care and immigration, and that replaying the gay marriage debate in particular could do as much damage as good as Republicans fight to retain control of Congress.",2006
"Judge Walker served as ring bearer when his father remarried, and in his younger years, he was close to the three children his father had with his second wife.",2020
"The shift, while fiercely opposed by some conservative lawmakers and interest groups, had surprisingly broad support among Republican leaders and women in both parties.",2016
Yet almost every expert on that electorate says a requisite for consideration by many Latinos is that a candidate possesses a reasonable view on immigration.,2012
"In Tehran, the threat of military action is double-edged,"" said Ashton B. Carter, a Harvard security expert who worked on nuclear issues in the Clinton administration.",2006
"""It could have been any of us,"" one ambassador, who is still serving and therefore spoke on the condition of anonymity, said on Wednesday.",2019
"In the CBS News interview, Mr. Bush said that he was as committed as ever to his plan for a $1.3 trillion tax cut over 10 years and that the possibility of an economic downturn only bolstered the rationale for it.",2000
"Bob Shrum, a Democratic consultant, said celebrity candidates had been successful when they had a well-established history of serious political involvement (like Reagan before his successful run for governor in 1966), or they faced another candidate whom the public simply could not stomach (like Mr. Schwarzenegger, who took advantage of the recall against the unpopular Gov. Gray Davis to win office in 2003).",2013
"So the appearance on Dr. Oz's show, announced on Friday, had been anticipated as a potential breakthrough, as Mr. Trump's aides had said that over the next few days he would release results from the physical examination, which was conducted last week.",2016
University of Chicago officials said classes would resume on Tuesday.,2015
Law enforcement officials immediately announced their support of the bill and began to push lawmakers to back it.,2016
Mr. Cantor's aides see it differently.,2012
"""We've got this disconnect between black leaders and the black masses.""",2010
One employee said she resigned last summer over concerns about the bank's ethics.,2019
"Instead of asking the subject, John Graham, a Democratic voter, what he thought of the use of Sept. 11 images in a Bush campaign commercial, the researchers noted which parts of Mr. Graham's brain were active as he watched.",2004
"Among Democrats, only former Gov. Howard Dean of Vermont has gone so far as to say out loud that he believes the administration is ""manipulating the release of information in order to affect the president's campaign.""",2004
"The Military and the Civilians Among the senior military officers on his war council, Mr. Rumsfeld relies most heavily on three men.",2003
Federal officials say there is not even a regulatory mechanism for planning a line that does more than connect two regions.,2013
"Louisiana officials say the agency had approved the original plan, last year, to hand out the money through banks, in what are called disbursement accounts.",2007
"Under the new finance minister, Salam Fayyad, a former International Monetary Fund official, Palestinian books are said to be more open.",2003
Banking industry officials acknowledge that credit card companies are squarely in the sights of Congress and the White House.,2009
"A central player in the case, a former aide to a charismatic Orthodox rabbi, Yoshiyahu Pinto, pleaded guilty to visa fraud in August.",2014
"Right now, doctors and patients will have to think very hard before using a drug that a majority of these experts has deemed risky.",2010
Still Treasury officials claim they were taken by surprise on Wednesday.,2011
The National Science Foundation and the Microsoft Corporation have agreed to offer American scientific researchers free access to the company's new cloud computing service.,2010
"""You'd think there would be more cases by now, because people are so vigilant,"" said Jonathan B. Tucker, a germ-weapons expert in the Washington office of the Monterey Institute of International Studies.",2001
"Offering an analysis of America's political tumult, Mr. Putin said that Mr. Trump was unlikely to be removed for ""highly speculative reasons"" by the Republican-controlled Senate.",2019
Some Democrats say a safer target is the conservative Republicans in the House.,2001
"For instance, they delivered information from Mr. Obama's search team to him by hand -- often in unmarked three-ring binders -- either themselves or by having a senior staff member ferry materials from Washington to Chicago.",2008
Mr. Griffin also said that his office had found many instances of department administrators being involved in plots to hide delays in patient care.,2014
"""If you'd like to hire more people, I'm going to give this to you,"" an exasperated Mr. Fishman said, according to people who attended.",2014
We asked three of the smartest Democratic strategists we know to imagine this situation: You are running the campaign of a liberal Democrat against Mrs. Clinton.,2015
"But General Powell will stop short of immediate full-blown intercession, and instead is likely to make a formal statement, as early as Monday, in which he will offer the two sides ""lifelines"" that could lead to further public and personal diplomacy, the officials said.",2001
Democratic Congressional aides said Sunday that some telecommunications company officials had told Congressional leaders that they were unhappy with that provision in the bill and might challenge the new law in court.,2007
""" Whether he was referring to the 7.7 million people who worked along Florida's coast in 2014, or to the $769 billion generated by Florida's coastal economy, according to a study by the Middlebury Institute of International Studies at Monterey, we can relate here in California.",2018
Specialist Gonzalez is currently a patient at the polytrauma center in Palo Alto undergoing physical therapy for partial paralysis to his left side.,2011
The governor and the attorney general were recently asked at a news conference what they'll do in 2014.,2013
""" A Democratic aide said that Senate staff members were disappointed that the proposal did not include more language from their bill.",2002
"Because it was about stopping real, often distressing, floor debate, one might have been able to defend that rule under Article I, Section 5 of the Constitution, which says, ""Each house may determine the rule of its proceedings.",2010
"It exempts only tourists from 28 nations whose citizens need not get visas to come to America, though citizens of those nations will be subject to the identification procedures if they are coming here for more than 90 days -- to study, say, or to work.",2004
"Jerome H. Powell, nominated by President Trump to lead the Federal Reserve, plans to tell a Senate committee on Tuesday that he supports the Fed's efforts to maintain economic growth and to tighten regulation of the financial system, according to a copy of his prepared testimony.",2017
"This week, an activist group called Community Oversight Now raised the possibility that high-ranking police officers may have wielded knowledge of the affair to influence the mayor's decisions on police reform issues.",2018
But health experts are worried that the disease may spread to neighboring countries.,2016
"When asked to confirm that, legislative aides put it more strongly, saying that a deal had been struck by the two houses.",2002
But they said they did not have evidence that they were part of the plot to hijack the airliners used to attack the World Trade Center and the Pentagon.,2001
"Some used private email accounts to communicate even, apparently, with Mr. Walker, according to an email from the county's administrative director, who at one point advised a colleague to do the same, adding imprecisely, ""Consider youself now in the 'inner circle.' """,2014
"He will continue in that role, even as he carries out the investigation into the C.I.A. leak, according to a news release issued by his office late Tuesday.",2003
"""What he's really saying,"" one aide said, ""is, 'I don't think I'm wrong, but I don't explain myself well enough.' """,2006
"More than 100 delirious watercolors by this familiar British artist, warm-up exercises for his daily routine.",2005
"BRUSSELS -- More than two years into a euro crisis that has toppled governments and sown economic pain, citizens of five euro zone countries -- including Greece -- say the euro has not been a good thing for them, but nevertheless do not want to go back to their old currencies, according to a survey to be released Tuesday.",2012
"""So many people are over Covid, but Covid is not over,"" he said.",2020
"But Ms. Nixon and Ms. Miner met privately this year, before Ms. Nixon announced her bid, when they and their spouses shared a meal in Syracuse, according to two people familiar with the meeting.",2018
"But while Pentagon officials now say that the program is making progress, it begins its 12th year in development years behind schedule, troubled with technological flaws and facing concerns about its relatively short flight range as possible threats grow from Asia.",2012
"A New York Times/CBS News Poll conducted last month showed that 94 percent of likely black voters supported Mr. Obama, compared with 6 percent who said they would vote for Mr. Romney.",2012
"The party has paid the salaries of at least 148 people in the current election cycle, according to data through the end of August.",2014
"The employers say the rules, including some issued in January and some still under consideration, could put many of them out of business.",2011
"Retailers, among others, are not confident that currency adjustments will happen the way economists predict, and are running advertisements warning that the ""border adjustment tax"" will tax ""your car, your food, your gas, your medicine, your clothes.",2017
"Mr. de Blasio said he picked Mr. Weisbrod -- most recently a partner in the real estate consulting firm HR & A Advisors, where he managed the rezoning of Manhattan's Hudson Square area -- for his experience in revitalizing neighborhoods and his success in getting deals done.",2014
"The battleground states of Ohio and Pennsylvania are among those moving ahead on voter ID bills, part of a trend that seems likely to intensify the kind of pitched partisan jousting over voting that has cropped up in recent presidential races.",2011
"The author, who will remain unnamed in the book, is represented by Matt Latimer and Keith Urbahn of Javelin, the literary agency that represents the former F.B.I. director James B. Comey, Senator Martha McSally and the retired United States Navy commander Guy Snodgrass.",2019
"Even putting aside the Iran-contra scandal and the Monica S. Lewinsky affair, Ronald Reagan and Bill Clinton were besieged by investigations of their aides unrelated to them.",2018
"Carter Eskew, one of Al Gore's top strategists, regrets that he had no detailed game plan after Mr. Gore captured the nomination.",2001
"A few days later, the governor informed the people of Massachusetts that he would not be seeking re-election -- a sign, many residents believed, that he had set his sights on the presidency.",2012
Some analysts attributed Mr. Tauzin's zeal to election-year politics; polls show Americans are outraged over the tire affair.,2000
"There is no law that defines the crime of insider trading; instead the rules for what is, or is not, illegal have evolved through court cases.",2014
"Yesterday, Mr. Sharpton praised Mr. Ferrer's ""proven track record,"" and admitted that they had disagreed in the past.",2005
"The move came as officials in the next four states scheduled to hold primaries -- Arizona, Florida, Illinois and Ohio -- have all indicated that they intend to hold their elections on Tuesday as planned, issuing a joint statement on Friday expressing confidence that ballots could be safely cast.",2020
"Alice Tao, a lighting analyst at IHS Technology, a global consulting firm, estimated that very low prices had allowed Chinese companies to capture about 30 percent of the global market.",2014
Federal prosecutors are now investigating the roles of Mr. Cuomo and his aides in the panel's shutdown and are pursuing its unfinished investigations.,2014
"""Four o'clock is the gateway drug to prime time,"" said Jonathan Wald, who came to MSNBC as the senior vice president for programming and development last February from CNN and was instrumental in creating the format for ""Deadline: White House.",2018
Some of the investigations have figured in the recent furor over the Bush administration's dismissal of nine United States attorneys last year.,2007
Experts say those statistics could improve if more of the devices were accessible to more people.,2013
Supremely The Supreme Court decision on Monday not to reverse the rulings of appeals courts allowing same-sex marriage in five states was as bland in its technicality and absence of explanation as it was stunning in its ramifications.,2014
"Federal law does not prohibit a candidate from hiring a relative, and Mr. Steele said in the statement that the payment was for legitimate work.",2009
"Over the past seven decades, the Israeli people have by the a country where Jews, Muslims and Christians and people of all faiths are free to live and worship according to their conscience and according to their beliefs.",2017
"The legislation's sponsors, he said, ""understand that Iran ""has a negotiation strategy based on brinkmanship.""",2013
"Some of the officers had not been issued weapons, and those who had guns had not been properly trained to use them.",2011
""" Advisers to Mr. Obama, who is scheduled to leave here for Washington on Monday night, say he is indeed giving some thought to a range of topics: his State of the Union address, expected in late January; his budget; his legislative agenda; his relations with Congress; and a staff reshuffling that will include the selection of a new deputy chief of staff and a replacement for Lawrence H. Summers, the president's top economic adviser, who returned to Harvard to teach.",2011
Mr. Forbes remains comfortable with his move and noted that even some Republican friends who ostracized him at the time eventually came around.,2010
"That makes Vaclav Havel and Adam Michnik and Kanan Makiya and Bernard Kouchner neocons, among others who don't think like Norman Podhoretz but have more firsthand knowledge of totalitarian hell than countless slick purveyors of the neocon insult.",2007
"The National Pork Producers Council, for its part, seemed pleased, saying in a statement that ""the White House acknowledged something that the National Pork Producers Council has been saying for years: More epidemiological research is needed to understand the key drivers of increased antibiotic resistance.""",2014
"The notes used code names for plans involving informants, calling them ""capers"" or ""operations.""",2016
"In the reports, Google, Twitter and Facebook (which also owns Instagram) were described by researchers as having ""evaded"" and ""misrepresented"" themselves and the extent of Russian activity on their sites.",2018
"After Mr. Paladino made unsubstantiated claims that Mr. Cuomo had been unfaithful in his marriage -- one Paladino adviser whispered of a goumada, Italian slang for mistress -- Mrs. Cuomo was asked about the remarks.",2010
"It is almost inconceivable, some of Mr. Obama's aides acknowledge, that the Iranians will be willing to give up everything needed to produce a weapon.",2009
"Mr. Pompeo, analysts said, would bring other qualities to the State Department that could make him more effective than Mr. Tillerson, not least his healthy relationship with the president.",2017
"Battered with questions about the messages released Tuesday by ABC News, Mr. Roth said he had not seen them and could not comment without consulting with his client.",2006
Dr. Denkowski was an expert witness whom prosecutors -- particularly in Harris County -- relied upon to determine whether a murder defendant would be eligible for execution.,2011
The president also appears poised to oust two other top immigration officials at the department in the coming days.,2019
"The White House said on Tuesday that it would deny requests for e-mail and other correspondence among top White House aides, including the chief of staff, Andrew H. Card Jr. and the homeland security adviser, Frances Fragos Townsend.",2006
"Now the program that was set up to help them cope with cancer, they say, has turned out to be excessively complicated and arbitrary, requiring decades-old employment records that in many cases are incomplete or cannot be found.",2007
"No one will say this openly because it is so dangerous,"" said the candidate who bowed out in Magdalena, saying that he would be killed if his name was disclosed.",2002
"This time, with progress in the talks seeming so close -- a Taliban spokesman confirmed Monday that the insurgents had agreed to the terms and that the signing would happen by month's end -- few are talking much about the violence that is still happening, perhaps unwilling to risk any deal that carried a hope of ending it.",2020
"The situation underscored the longstanding enmity between Mr. Mulvaney and the counsel, Pat A. Cipollone, who have repeatedly been at odds throughout the impeachment inquiry, according to four administration officials briefed on the events.",2019
"Americans use more antibiotics than people in other industrialized nations, with rates more than twice those in Germany and the Netherlands, according to the Pew Charitable Trusts, a Washington-based research and advocacy group.",2014
"The chairman of the Senate Finance Committee, Max Baucus, Democrat of Montana, said lawmakers had turned their attention to sharpening their sound bites.",2009
"That turnabout mirrored the president's shift after the 2018 shooting in Parkland, Fla., when he expressed support for stronger gun controls and then backtracked after speaking with N.R.A. officials.",2020
"If they did vote for Mr. Obama in 2008, many of them -- Reform and Conservative alike -- said they planned to do so again, although not quite as enthusiastically.",2011
"In 1974, a group of economists and journalists got together in a bar and launched supply-side economics.",2008
"One example, according to Clarke, was his persuading the conservative Republicans Charles Halleck, the House minority leader, and Everett Dirksen, the Senate minority leader, to support a civil rights bill.",2013
"According to a transcript from his office, Mr. Thompson said, ""Based on what we know at this point, it appears it is an isolated case,"" and later said, ""But I want to point out once again that this is an isolated case, and it's not contagious"" (not ""It is an isolated case, and it is not contagious"").",2001
Mr. Emanuel said.,2009
"It was not clear how many positions were being cut, although the senior State Department official said a vast majority were security and other support contractors.",2020
Senate Democrats have introduced a tax relief bill that is linked specifically to companies hiring new employees.,2012
"The prime minister believed, the official said, that while talks required more patience, they would bring a ""more durable and more desirable solution"" than any recourse to arms.",2003
U.P.S. said it was merely following the same pregnancy policy observed by the United States Postal Service and defended in the past by the Justice Department.,2014
But consumer advocacy groups say the policy may unfairly give an advantage to incumbents over challengers because it allows elected officials to use government resources to communicate with voters right up to Election Day.,2003
